Name,Address,Phone
Search for businesses in your neighborhood,"Neighborhood Family Clinic1711 6th St N, Texas City-league City, Texas, 77590-6249(409) 965-0077Texas City Family Healthcare Center9300 Emmett F Lowry Expy, Ste 138, Texas City-league City, Texas, 77591-2133(409) 986-9686University of Texas Medical Branch Hospital DepartmentsTexas City-league City, Texas, 77550(409) 772-7150Advanced Invasive Pain Management of Houston308 Parkwood Vlg, Texas City-league City, Texas, 77546-6400(281) 648-3035G E Medical3301 Hughes Ln, Texas City-league City, Texas, 77539-4100(281) 614-0262National Health Services421 E Parkwood Ave, Texas City-league City, Texas, 77546-5149(281) 996-3620Bay Oaks Health Care Center424 Tarpey Rd, Texas City-league City, Texas, 77591-3160(409) 938-8431Dancar Home Health ServicesTexas City-league City, Texas, 77539(281) 309-0680Ahca Mainland Outpatient Surgery Center3810 Hughes Ct, Texas City-league City, Texas, 77539-6205(281) 337-7001Friendswood Health Care Center213 E Heritage Dr, Texas City-league City, Texas, 77546-3830(281) 993-5129Msch Health Centers100 Enterprise Ave, Texas City-league City, Texas, 77573-2940(281) 334-7771Malott Chiropractic Health Clinic699 S Friendswood Dr, Ste 105, Texas City-league City, Texas, 77546-4580(281) 648-0001Coastal Healthcare Group8900 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-9116(409) 935-3193Corporate Wellness & Health Services Inc2951 Marina Bay Dr, Texas City-league City, Texas, 77573-2735(281) 334-1492Space City Assoc of NephrologyTexas City-league City, Texas, 77573(281) 334-3111Alternative Health Associates1555 Fm 646 Rd N, Texas City-league City, Texas, 77539(281) 559-3383Dickinson Medical Clinic Associates303 Fm 517 Rd E, Texas City-league City, Texas, 77539-8630(281) 534-2525Family Tree Health Clinic2911 S Shore Blvd, Ste 190, Texas City-league City, Texas, 77573-3919(281) 538-8188Gulf Health Care Center-Texas City1720 N Logan St, Texas City-league City, Texas, 77590-4931(409) 943-4914Clear Creek Clinic PA302 Highway 3 S, Texas City-league City, Texas, 77573-3755(281) 332-6573Texas City Surgical PA6807 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-2546(409) 933-3022Utmb Geriatrics Health Care12424 Highway 6, Texas City-league City, Texas, 77510-7608(409) 927-8130Medical and Surgical Clinic Associates6807 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-2546(409) 935-2411Tri Rehab At Bay Oaks Health Care Center424 Tarpey Rd, Texas City-league City, Texas, 77591-3160(409) 938-8431Beeler Manske Clinic LLP6807 Emmett F Lowry Expy, Ste 200, Texas City-league City, Texas, 77591-2547(409) 948-852112Next ›Last »","Neighborhood Family Clinic1711 6th St N, Texas City-league City, Texas, 77590-6249(409) 965-0077Texas City Family Healthcare Center9300 Emmett F Lowry Expy, Ste 138, Texas City-league City, Texas, 77591-2133(409) 986-9686University of Texas Medical Branch Hospital DepartmentsTexas City-league City, Texas, 77550(409) 772-7150Advanced Invasive Pain Management of Houston308 Parkwood Vlg, Texas City-league City, Texas, 77546-6400(281) 648-3035G E Medical3301 Hughes Ln, Texas City-league City, Texas, 77539-4100(281) 614-0262National Health Services421 E Parkwood Ave, Texas City-league City, Texas, 77546-5149(281) 996-3620Bay Oaks Health Care Center424 Tarpey Rd, Texas City-league City, Texas, 77591-3160(409) 938-8431Dancar Home Health ServicesTexas City-league City, Texas, 77539(281) 309-0680Ahca Mainland Outpatient Surgery Center3810 Hughes Ct, Texas City-league City, Texas, 77539-6205(281) 337-7001Friendswood Health Care Center213 E Heritage Dr, Texas City-league City, Texas, 77546-3830(281) 993-5129Msch Health Centers100 Enterprise Ave, Texas City-league City, Texas, 77573-2940(281) 334-7771Malott Chiropractic Health Clinic699 S Friendswood Dr, Ste 105, Texas City-league City, Texas, 77546-4580(281) 648-0001Coastal Healthcare Group8900 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-9116(409) 935-3193Corporate Wellness & Health Services Inc2951 Marina Bay Dr, Texas City-league City, Texas, 77573-2735(281) 334-1492Space City Assoc of NephrologyTexas City-league City, Texas, 77573(281) 334-3111Alternative Health Associates1555 Fm 646 Rd N, Texas City-league City, Texas, 77539(281) 559-3383Dickinson Medical Clinic Associates303 Fm 517 Rd E, Texas City-league City, Texas, 77539-8630(281) 534-2525Family Tree Health Clinic2911 S Shore Blvd, Ste 190, Texas City-league City, Texas, 77573-3919(281) 538-8188Gulf Health Care Center-Texas City1720 N Logan St, Texas City-league City, Texas, 77590-4931(409) 943-4914Clear Creek Clinic PA302 Highway 3 S, Texas City-league City, Texas, 77573-3755(281) 332-6573Texas City Surgical PA6807 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-2546(409) 933-3022Utmb Geriatrics Health Care12424 Highway 6, Texas City-league City, Texas, 77510-7608(409) 927-8130Medical and Surgical Clinic Associates6807 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-2546(409) 935-2411Tri Rehab At Bay Oaks Health Care Center424 Tarpey Rd, Texas City-league City, Texas, 77591-3160(409) 938-8431Beeler Manske Clinic LLP6807 Emmett F Lowry Expy, Ste 200, Texas City-league City, Texas, 77591-2547(409) 948-852112Next ›Last »"
Neighborhood Family Clinic,"1711 6th St N, Texas City-league City, Texas, 77590-6249(409) 965-0077","1711 6th St N, Texas City-league City, Texas, 77590-6249"
Texas City Family Healthcare Center,"9300 Emmett F Lowry Expy, Ste 138, Texas City-league City, Texas, 77591-2133(409) 986-9686","9300 Emmett F Lowry Expy, Ste 138, Texas City-league City, Texas, 77591-2133"
University of Texas Medical Branch Hospital Departments,"Texas City-league City, Texas, 77550(409) 772-7150","Texas City-league City, Texas, 77550"
Advanced Invasive Pain Management of Houston,"308 Parkwood Vlg, Texas City-league City, Texas, 77546-6400(281) 648-3035","308 Parkwood Vlg, Texas City-league City, Texas, 77546-6400"
G E Medical,"3301 Hughes Ln, Texas City-league City, Texas, 77539-4100(281) 614-0262","3301 Hughes Ln, Texas City-league City, Texas, 77539-4100"
National Health Services,"421 E Parkwood Ave, Texas City-league City, Texas, 77546-5149(281) 996-3620","421 E Parkwood Ave, Texas City-league City, Texas, 77546-5149"
Bay Oaks Health Care Center,"424 Tarpey Rd, Texas City-league City, Texas, 77591-3160(409) 938-8431","424 Tarpey Rd, Texas City-league City, Texas, 77591-3160"
Dancar Home Health Services,"Texas City-league City, Texas, 77539(281) 309-0680","Texas City-league City, Texas, 77539"
Ahca Mainland Outpatient Surgery Center,"3810 Hughes Ct, Texas City-league City, Texas, 77539-6205(281) 337-7001","3810 Hughes Ct, Texas City-league City, Texas, 77539-6205"
Friendswood Health Care Center,"213 E Heritage Dr, Texas City-league City, Texas, 77546-3830(281) 993-5129","213 E Heritage Dr, Texas City-league City, Texas, 77546-3830"
Msch Health Centers,"100 Enterprise Ave, Texas City-league City, Texas, 77573-2940(281) 334-7771","100 Enterprise Ave, Texas City-league City, Texas, 77573-2940"
Malott Chiropractic Health Clinic,"699 S Friendswood Dr, Ste 105, Texas City-league City, Texas, 77546-4580(281) 648-0001","699 S Friendswood Dr, Ste 105, Texas City-league City, Texas, 77546-4580"
Coastal Healthcare Group,"8900 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-9116(409) 935-3193","8900 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-9116"
Corporate Wellness & Health Services Inc,"2951 Marina Bay Dr, Texas City-league City, Texas, 77573-2735(281) 334-1492","2951 Marina Bay Dr, Texas City-league City, Texas, 77573-2735"
Space City Assoc of Nephrology,"Texas City-league City, Texas, 77573(281) 334-3111","Texas City-league City, Texas, 77573"
Alternative Health Associates,"1555 Fm 646 Rd N, Texas City-league City, Texas, 77539(281) 559-3383","1555 Fm 646 Rd N, Texas City-league City, Texas, 77539"
Dickinson Medical Clinic Associates,"303 Fm 517 Rd E, Texas City-league City, Texas, 77539-8630(281) 534-2525","303 Fm 517 Rd E, Texas City-league City, Texas, 77539-8630"
Family Tree Health Clinic,"2911 S Shore Blvd, Ste 190, Texas City-league City, Texas, 77573-3919(281) 538-8188","2911 S Shore Blvd, Ste 190, Texas City-league City, Texas, 77573-3919"
Gulf Health Care Center-Texas City,"1720 N Logan St, Texas City-league City, Texas, 77590-4931(409) 943-4914","1720 N Logan St, Texas City-league City, Texas, 77590-4931"
Clear Creek Clinic PA,"302 Highway 3 S, Texas City-league City, Texas, 77573-3755(281) 332-6573","302 Highway 3 S, Texas City-league City, Texas, 77573-3755"
Texas City Surgical PA,"6807 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-2546(409) 933-3022","6807 Emmett F Lowry Expy, Texas City-league City, Texas, 77591-2546"
Utmb Geriatrics Health Care,"12424 Highway 6, Texas City-league City, Texas, 77510-7608(409) 927-8130","12424 Highway 6, Texas City-league City, Texas, 77510-7608"
